,issue_area,question,submission_date,submitter_location,submitters,vote_count,question_
39,Government & Elections,How would you get cooperation from Congress to implement your programs?,2016-10-09 13:35:00,NY,Theresa M.,1,"cooperation congress implement program
"
40,Foreign Policy & Military,What's your plan to address the instability in the asian disputed maritime areas,2016-10-09 03:32:00,WA,Matthew H.,1,"what_' your_plan address instability asian dispute maritime area
"
41,Civil Rights,How will you end police brutality?,2016-10-09 19:13:00,FL,Ahimelec D.,1,"end police_brutality
"
42,Government & Elections,Security Clearances,2016-10-09 19:06:00,TX,Gary M.,1,"security_clearance
"
43,Taxes & Budget,What specificaaly would you do to improve the US tax code?,2016-10-09 19:27:00,CA,Jeff G.,1,"specificaaly improve tax_code
"
44,Foreign Policy & Military,"why are we giving money to nations that  hate us instead of helping our own 
",2016-10-09 17:42:00,KS,Martin P.,1,"money nation hate instead_of help
"
45,Health,How do you plan to mitigate the cost and health effects of obesity?,2016-10-09 16:31:00,NC,Sarah K.,1,"plan mitigate cost health effect obesity
"
46,Health,How will you protect our health and all waters of the USA as a human right?  ,2016-10-09 16:30:00,TX,Susan T.,1,"protect_our health water usa human_right
"
47,Education,How will you support children who are not getting their basic needs met?,2016-10-09 16:27:00,SD,Shelby B.,1,"support child basic need meet
"
48,Health,How will you fix the Affordable Care Act?,2016-10-09 18:24:00,MI,Bryce H.,1,"fix affordable_care_act
"
49,Civil Rights,"How will you, as President, support women's rights in America?",2016-10-09 16:25:00,TX,Samantha N.,1,"as_president support woman_'s_right america
"
50,Society & Community,What will you do to help our military and their families? ,2016-10-09 16:19:00,OK,Amanda  E.,1,"help our_military family
"
51,Government & Elections,"Are you the ""the decider""?",2016-10-09 16:19:00,TX,Eileen H.,1,"decider
"
52,Education,Do You Think Learning Disabled And Special Needs Should Be Seperated At Schools?,2016-10-09 16:18:00,MS,BAN S.,1,"think learning disabled special needs seperated school
"
53,Government & Elections,either of you ever consider the skills of the other to serve in your admin?,2016-10-09 16:18:00,VA,John G.,1,"either_of consider skill serve admin
"
54,Foreign Policy & Military,"What will your policy be toward Afghanistant if elected, in terms of military?",2016-10-09 16:17:00,None,jennifer w.,1,"your_policy afghanistant if_elect term military
"
55,Health,How can we make health care cost competitive with the other advanced countries,2016-10-09 16:16:00,NM,Michael S.,1,"how_can_we health_care cost competitive advanced country
"
56,Taxes & Budget,How do you feel about tax fraud?,2016-10-09 16:16:00,OR,Bre W.,1,"feel_about tax fraud
"
57,Society & Community,"If he were alive today, who would Jesus support in the 2016 election, and why?",2016-10-09 16:15:00,AZ,Sarah T.,1,"alive today jesus support 2016 election
"
58,Government & Elections,Can a person so disrespectful towards so many hope to unite our nation? How?,2016-10-09 16:13:00,CA,Michael M.,1,"a_person disrespectful so_many hope unite our_nation
"
59,Health,"What will you do to support research on uncureable diseases like ALS, MS etc. ",2016-10-09 16:12:00,NV,mikki m.,1,"support research uncureable disease like als ms
"
60,Taxes & Budget,99%. 1%. Who cares? How about Civic Responsibility? How about Shared Sacrifice?,2016-10-09 16:10:00,IL,Greg M.,1,"99 1 care civic responsibility shared sacrifice
"
61,Economy & Jobs,What would you do to make it possible for people to start a small business?,2016-10-09 16:09:00,AZ,Maria D.,1,"it_possible people start small_business
"
62,Foreign Policy & Military,"How will you keep us safe,. Not only now but in the future?",2016-10-09 16:01:00,OH,Pamela W.,1,"safe,. future
"
63,Civil Rights,Are you going to allow legal help for our soldiers and veterans?,2016-10-09 15:58:00,CA,Karen S.,1,"allow legal help soldier veteran
"
64,Foreign Policy & Military,Why are we drawn into certain wars but no others.,2016-10-09 15:57:00,None,Jonathan E.,1,"draw certain war
"
65,Foreign Policy & Military,What will you do to end the wars in the middle east?,2016-10-09 15:55:00,WA,Nathan H.,1,"end war middle_east
"
66,Government & Elections,Would you support grand jury deciding on politicians being charged vs DOJ/FBI,2016-10-09 15:48:00,TN,Tammy H.,1,"support grand jury decide politician charge vs doj/fbi
"
67,Civil Rights,will you protect our rights? what will you do about any outcomes that happen,2016-10-09 15:48:00,MI,chase w.,1,"protect_our right outcome happen
"
68,Education,How will your education agenda prepare students for our global society?  ,2016-10-09 15:35:00,WI,Pam D.,1,"education agenda prepare student global society
"
69,Education,If President Will You Ban The Slave Labor Of Children in Schools?,2016-10-09 15:30:00,MS,BAN S.,1,"president ban slave labor children schools
"
70,Government & Elections,"What was your worst day on the job?What was the obstacle, how did u fix it? ",2016-10-09 15:26:00,CA,Lisa W.,1,"bad day job?what obstacle u fix_it
"
71,Government & Elections,How many x's  have you testified to defend ur actions and why to any gov't body?,2016-10-09 15:24:00,MO,Sheri R.,1,"x 's testify defend ur action gov't body
"
72,Infrastructure & Technology,What us an example of your experience in curing wasteful government projects .,2016-10-09 15:21:00,FL,Doug  G.,1,"an_example experience cure wasteful government project
"
73,Government & Elections,"Will you disavow & pledge not to make personal attacks, and address issues only?",2016-10-09 15:18:00,TN,fred j.,1,"disavow pledge personal_attack address issue
"
74,Government & Elections,How is the public to ensure fairness for businesses and foundations?,2016-10-09 15:15:00,TN,Megan H.,1,"public ensure fairness business foundation
"
75,Society & Community,What traits do you share with George Washington?,2016-10-09 15:15:00,CA,William J.,1,"trait share george washington
"
76,Foreign Policy & Military,Shared Sacrifice: do you consider it a shared sacrifice to shop?,2016-10-09 15:03:00,IL,Greg M.,1,"shared sacrifice consider share sacrifice shop
"
77,Society & Community,Will you reverse the impact of harmful US policies on countries like Haiti?,2016-10-09 14:59:00,NY,Peter M.,1,"reverse impact harmful policy country like haiti
"
78,Health,Should Abortion be illegal? ,2016-10-09 14:52:00,CA,Canadian P.,1,"abortion illegal
"
79,Society & Community,"Can you articulate a vision, & address the concerns of those adversely effected?",2016-10-09 14:50:00,TX,RICHARD M.,1,"articulate vision address concern adversely effect
"
80,Foreign Policy & Military,Aaron Swartz was prosecuted to death by Carmen Ortiz. Why? Seriously? Why?!!,2016-10-09 14:43:00,IL,Greg M.,1,"aaron swartz prosecute death carmen ortiz seriously
"
81,Health,What are your views on Roe v. Wade?,2016-10-09 14:38:00,IL,Kristen S.,1,"your_view_on roe v. wade
"
82,Civil Rights,How can you address the cycle of poverty and racism in the role of president?,2016-10-09 14:36:00,WI,Jessie W.,1,"address cycle poverty racism role president
"
83,Education,Will you work to lower the cost of more than undergraduate education?,2016-10-09 14:28:00,IL,Kelly A.,1,"work lower cost more_than undergraduate education
"
84,Education,What are your plans to improve our education system?,2016-10-09 14:22:00,KS,Karisa G.,1,"your_plan improve education_system
"
85,Government & Elections,"Would support mandatory, scheduled constitutional referenda?",2016-10-09 14:20:00,None,Joaquin M.,1,"support mandatory schedule constitutional referendum
"
86,Foreign Policy & Military,Remember Cindy Sheehan? Remember Khizr Khan? Why aren't your children enlisted?,2016-10-09 14:15:00,IL,Greg M.,1,"remember cindy sheehan remember khizr khan child enlist
"
87,Foreign Policy & Military,In a crisis situation what role does narrative play in your decision making?,2016-10-09 14:15:00,FL,Dee D.,1,"crisis situation role narrative play_in decision
"
88,Foreign Policy & Military,"What action, if any, should the US take in Syria--military or diplomatic?",2016-10-09 16:34:00,MI,ANTON G.,1,"action if_any in_syria military diplomatic
"
89,Government & Elections,What have you done specifically to earn the trust of voters?,2016-10-09 14:08:00,CA,Brandon  M.,1,"specifically earn trust voter
"
90,Education,Would u be willing to revamp the Dept of Ed and implement diff. standards?,2016-10-09 14:01:00,CA,Lesile J.,1,"u willing revamp dept ed implement diff standard
"
91,Infrastructure & Technology,How will you ensure California farmers get the water needed to grow our food?,2016-10-09 14:00:00,CA,Nicole  N.,1,"ensure california farmer water need grow food
"
92,Economy & Jobs,What is your plan to assist companies hire immigrants?,2016-10-09 13:58:00,OH,Krys L.,1,"your_plan assist company hire immigrant
"
93,Government & Elections,Would you be willing to debate your opponent's VP candidate for the last debate?,2016-10-09 13:38:00,VA,Ron T.,1,"willing debate your_opponent_'s vp candidate debate
"
94,Health,Why do business and schools allow not proper clothing in women and children ,2016-10-09 16:10:00,MA,Mark B.,1,"business school allow proper clothing woman child
"
95,Foreign Policy & Military,Will you let your eastern allies be easy prey for the Kremlin's hybrid war?,2016-10-09 13:31:00,CA,Paul C.,1,"let eastern allies easy prey kremlin 's hybrid war
"
96,Society & Community,"Due to your words, denials & actions you have let supporters down, why?",2016-10-09 13:28:00,WA,Ron C.,1,"word denial action let supporter
"
97,Education,Why Not Ban Special Educating Of Normal Students For Fraud Waste And Abuse?Â ,2016-10-09 13:25:00,MS,BAN S.,1,"ban special educating normal student fraud waste abuse?â
"
98,Health,"If a fetus tests positive for Zika, should the woman consider an abortion?",2016-10-09 13:06:00,None,Michael G.,1,"fetus test positive zika woman consider abortion
"
99,Taxes & Budget,How would you hold landlords responsible for accurate income reports to the IRS?,2016-10-09 13:04:00,CA,Don M.,1,"hold landlord responsible_for accurate income report irs
"
100,Economy & Jobs,What sacrifices would CEOs need to make if they were forced to give up bonuses?,2016-10-09 13:02:00,OH,Terry M.,1,"sacrifice ceo need if_they force give_up bonus
"
101,Foreign Policy & Military,Remember Jews on the SS St. Louis? How are Syrian Refugees any different?,2016-10-09 12:51:00,IL,Greg M.,1,"remember jews ss st. louis syrian refugees different
"
102,Taxes & Budget,Would either candidate give the their VP the undauting task of reforming the IRS,2016-10-09 12:50:00,CA,Tim P.,1,"either_candidate vp undauting task reform irs
"
103,Government & Elections,Would you support term limits for Congressmen and women?,2016-10-09 12:39:00,AL,Benton H.,1,"support term_limit_for congressman woman
"
104,Government & Elections,Negative campaigns become toxic anti-US propaganda overseas. Is this treason?,2016-10-09 12:36:00,WI,Brian N.,1,"negative campaign toxic anti propaganda overseas treason
"
105,Society & Community,What's with the guns? Are we adults? Or children? Bang-Bang Shoot-Shoot. Really?,2016-10-09 12:35:00,IL,Greg M.,1,"what_' gun adult child bang bang shoot shoot
"
106,Civil Rights,What is your position on digital piracy on Youtube? Should uploaders go to jail?,2016-10-09 12:34:00,CA,MIchael H.,1,"your_position_on digital piracy youtube uploaders jail
"
107,Taxes & Budget,"Couldn't we buy some land as an ivestment , for the refuges let them rebuilt it ",2016-10-09 12:32:00,FL,Giselle M.,1,"buy land ivestment refuge let rebuild
"
108,Foreign Policy & Military,Was the tragedy in Benghazi that cost 4 Americans their lives avoidable?  How?,2016-10-09 12:21:00,NC,Debra Q.,1,"tragedy benghazi cost 4 americans life avoidable
"
109,Economy & Jobs,"Specifically,what impact ,if any, does your economic plan have on the deficit?",2016-10-09 12:11:00,FL,Barbara S.,1,"specifically impact if_any economic plan deficit
"
110,Society & Community,Would you allow vets to CCW in all 50 States overriding State/county laws?,2016-10-09 11:40:00,NY,James M.,1,"allow vet ccw all_50_state override state/county law
"
111,Economy & Jobs,National Debt,2016-10-09 11:37:00,CO,Stan M.,1,"national_debt
"
112,Foreign Policy & Military,"Instead of giving amnesty, could we restructure mexico's government and economy ",2016-10-09 11:09:00,TX,Clint W.,1,"instead_of amnesty restructure mexico 's government economy
"
113,Taxes & Budget,What will you do to close the $4 billion dollar tax loop-hole?,2016-10-09 10:45:00,PA,David C.,1,"close $ 4 billion dollar tax_loop hole
"
114,Economy & Jobs,Whyhasn't there been  discussion about reduction of manuf jobs due to technology,2016-10-09 09:53:00,DC,Elise M.,1,"whyhasn't discussion reduction manuf job technology
"
115,Economy & Jobs,"How does the national debt affect you, and if it doesn't, how can to control it?",2016-10-09 09:47:00,IL,Kelvin H.,1,"national_debt affect control
"
116,Foreign Policy & Military,"As an American living & working abroad, what will you do to ensure our safety?",2016-10-09 09:42:00,KS,Brock S.,1,"american live work abroad ensure safety
"
117,Health,How do we get better health care outcomes in the US while decreasing spending?,2016-10-09 09:40:00,OH,Carianne B.,1,"better health_care outcome decrease spending
"
118,Government & Elections,Should events affecting you from years back reflect who you are now and why?,2016-10-09 09:31:00,NH,Michael W.,1,"event affect year reflect
"
119,Government & Elections,Have you ever committed an offence that would disqualify you for POTUS?,2016-10-09 09:05:00,MI,Michael M.,1,"commit offence disqualify potus
"
120,Foreign Policy & Military,"Where is the US , HAITI , and Sierrans off shore dying, how would you change thi",2016-10-09 07:42:00,FL,Giselle M.,1,"haiti sierrans off_shore die change thi
"
121,Society & Community,Do believe our country has an unjust war on the male population.?,2016-10-09 07:36:00,AL,Jim C.,1,"believe our_country unjust war_on male population
"
122,Economy & Jobs,Are you willing to strengthen our trade laws by using reciprocity against China?,2016-10-09 07:35:00,CA,Martin M.,1,"willing strengthen trade law use reciprocity china
"
123,Economy & Jobs,What specific plans do you have to bring/create jobs during your presidency,2016-10-09 11:46:00,FL,Barbara S.,1,"specific_plan bring/create job during_your_presidency
"
124,Foreign Policy & Military,Should we continue to support terrorists in Syria?,2016-10-09 06:17:00,NE,Darrell M.,1,"should_we continue support terrorist in_syria
"
125,Foreign Policy & Military,Do you have business in foreign countries that could pose a conflict of interest,2016-10-09 05:56:00,AZ,Michael C.,1,"business foreign_country pose conflict
"
126,Health,Would you consider a VAT tax to counties to replace insurance and pay salaries? ,2016-10-09 05:02:00,CA,Dr Bill D.,1,"consider vat tax county replace insurance pay salary
"
127,Government & Elections,"Do you think the rule should be changed to allow a president to serve 3 terms?
",2016-10-09 02:24:00,VA,Lyn M.,1,"think rule change allow president serve 3 term
"
128,Health,Should Vets benefits be determined by the assignments given them while in milita,2016-10-09 01:37:00,FL,Jan E.,1,"vet benefit determine assignment milita
"
129,Government & Elections,Is it fair to hold one candidate to a higher standard on protecting women?,2016-10-08 23:54:00,CA,David S.,1,"fair hold candidate high standard protect woman
"
130,Economy & Jobs,Would you agree that you cannot create more jobs without borrowing more money?,2016-10-08 22:42:00,MD,Fred M.,1,"agree_that create_more_job borrow money
"
131,Foreign Policy & Military,"If  the 40K Russian troops newly amassed on the Ukrainian border invade, what?",2016-10-08 21:13:00,TX,J F.,1,"40k russian troop newly amass ukrainian border invade
"
132,Government & Elections,Should the election process be subject to federal regs & the Justice Dept? ,2016-10-08 19:58:00,WA,Menudo B.,1,"election_process subject federal regs justice dept
"
133,Government & Elections,"When we vote all minorities lose, by definition. Is there a better way?",2016-10-08 19:04:00,VA,Richard M.,1,"vote minority lose definition better way
"
134,Civil Rights,Which parts of the Constitution would you curtail to ensure our safety?,2016-10-08 16:41:00,NJ,Geza P.,1,"part_of constitution curtail ensure safety
"
135,Foreign Policy & Military,What tools of foreign policy will you use to assert U.S. influence and power?,2016-10-08 16:40:00,IL,Robert E.,1,"tool foreign_policy use assert u.s. influence power
"
136,Economy & Jobs,"The bubble burst in 2000&2008. If credit disappears, people are going to be hurt",2016-10-08 15:27:00,TN,Patricia P.,1,"bubble burst 2000&2008 credit disappears people hurt
"
137,Civil Rights,"As a US taxpayer, is it right to deny equality based on religion.",2016-10-09 19:16:00,FL,Joey B.,1,"taxpayer right deny equality base_on religion
"
138,Environment,How do you stand on the Dakota access pipeline?,2016-10-09 18:56:00,ND,Ryan K.,1,"stand_on dakota_access_pipeline
"
139,Government & Elections,"Since Congress ""serves"" this nation shouldn't they go to the VA for health care?",2016-10-09 18:04:00,IN,Teresa L.,1,"congress serve nation va health_care
"
140,Society & Community,Is it time for American to separate Men and Women like Saudi Arabia?,2016-10-08 13:20:00,CO,Sane P.,1,"time american separate man woman like saudi_arabia
"
141,Economy & Jobs,"Natural gas is much cheaper Ththan coal,so how will abolishing regs revive coal?",2016-10-08 13:01:00,WA,Paul A.,1,"natural ga cheap ththan coal abolish regs revive coal
"
142,Society & Community,"
VOTE!
Should Catholic hospitals be required to perform elective abortions?",2016-10-08 12:35:00,None,Richard K.,1,"vote catholic hospital require perform elective abortion
"
143,Education,Do we need to change education system to help our inner cities to stop highcrime,2016-10-09 12:09:00,PA,virginia m.,1,"need change education_system help inner_city stop highcrime
"
144,Economy & Jobs,"Why are Private Pension Plans in Danger of Insolvency allow
 to cut benefits?",2016-10-09 18:42:00,RI,J L.,1,"private pension plans danger insolvency allow cut benefit
"
145,Economy & Jobs,"As President, will you be able to keep the small businesses afloat? 
",2016-10-09 18:39:00,MD,Zach S.,1,"as_president able small_business afloat
"
146,Taxes & Budget,Are you currently receiving social Security benefits? Why or Why not?,2016-10-09 17:51:00,NY,Anthony F.,1,"currently receive social_security benefit
"
147,Government & Elections,what demonstrates your ability to place my well being above your self interest,2016-10-09 16:09:00,WI,tom r.,1,"demonstrate ability place self
"
148,Economy & Jobs,what will our taxes be used for?,2016-10-09 15:36:00,MI,chase w.,1,"tax use
"
149,Education,What will you do to help the middle class afford college? ,2016-10-09 13:39:00,NY,Kiera D.,1,"help middle_class afford college
"
150,Foreign Policy & Military,Would you consider engaging in the yoke of oppression to make America great.,2016-10-07 23:35:00,CA,Richard K.,1,"consider engage yoke oppression make_america_great
"
151,Government & Elections,Should the laws for corps in giving  to campaigns apply to other entities,2016-10-07 17:34:00,None,Dale A.,1,"law corp campaign apply entity
"
152,Society & Community,How do you convince voters that you're not a bad person?,2016-10-09 19:08:00,FL,Tim V.,1,"convince voter 're bad person
"
153,Education,What will you do as President to help with rising student loan debt?,2016-10-09 18:19:00,TX,Shayne D.,1,"as_president help rise student_loan_debt
"
154,Economy & Jobs,"In your economic plan , what are the most important jobs to bring back to US?",2016-10-09 11:51:00,FL,Barbara S.,1,"economic plan most_important job bring_back
"
155,Civil Rights,What will you do to support ALL citizens?,2016-10-09 19:27:00,CT,Samantha G.,1,"support citizen
"
156,Foreign Policy & Military,Would you continue Russian sanctions?,2016-10-09 18:07:00,TX,Jeffrey B.,1,"continue russian sanction
"
157,Civil Rights,How do you intend to make transgender healthcare accessible and affordable?,2016-10-09 19:27:00,IL,Elliot  J.,1,"intend transgender healthcare accessible affordable
"
158,Economy & Jobs,Why would you spend billions on a wall instead of helping himeless?,2016-10-09 19:27:00,MO,Liliana B.,1,"spend billion a_wall instead_of help himeless
"
159,Government & Elections,What measures will you take toward ensuring transparency of our government?,2016-10-09 19:26:00,TX,Brittany  R.,1,"measure ensure transparency government
"
160,Education,"As a Master's Student in Special Ed, how do I know I will have a job teaching?",2016-10-09 00:40:00,OR,Scott S.,1,"master 's student special ed know job teaching
"
161,Government & Elections,Who would you nominate to replace Scalia and why?,2016-10-09 19:31:00,FL,janis m.,1,"nominate replace scalia
"
162,Government & Elections,Who would you nominate to replace Scalia and what qualities specifically would y,2016-10-09 19:28:00,FL,janis m.,1,"nominate replace scalia quality specifically y
"
163,Economy & Jobs,Do you believe that there is a gender gap in this country regarding equal wages?,2016-10-09 19:26:00,TX,Janet V.,1,"believe_that gender gap in_this_country regard equal wage
"
164,Civil Rights,"will you fund accountable black-innercity development/actualization
program ?

 ",2016-10-09 19:25:00,MA,joseph h.,1,"fund accountable black innercity development/actualization program
"
165,Government & Elections,"If you lose, will you support your opponent to be the best POTUS ever?",2016-10-09 19:25:00,IL,Christopher r.,1,"lose support your_opponent best potus
"
166,Education,What's your plan to reduce academic stress for students and encourage learning?,2016-10-09 19:24:00,MA,Lily Y.,1,"what_' your_plan reduce academic stress student encourage learning
"
167,Foreign Policy & Military,How do you feel about the bill letting families sue Saudi Arabia?,2016-10-09 19:23:00,MN,Meg C.,1,"feel_about let family sue saudi_arabia
"
168,Government & Elections,How would you reform the controversial current primary system?,2016-10-09 19:22:00,CA,Lauren S.,1,"reform controversial current primary
"
169,Education,Will you put in Federal limits to interest rates for student loans?,2016-10-09 19:21:00,CA,John P.,1,"federal limit interest_rate student_loan
"
170,Society & Community,Do you make decisions based more on moral  or practical principles?,2016-10-09 19:21:00,FL,Tracy K.,1,"decision base moral practical principle
"
171,Foreign Policy & Military,What right does US have interfering in the affairs of Syria a sovereign nation,2016-10-09 19:20:00,IN,Alex F.,1,"right interfere affair syria sovereign nation
"
172,Government & Elections,What is your opponent's biggest strength?,2016-10-09 19:19:00,NY,Maura M.,1,"your_opponent_'s big strength
"
173,Health,What is your plan to reign in looming double digit premium increases under ACA?,2016-10-09 19:19:00,None,Jeff B.,1,"your_plan reign_in loom double digit premium increase aca
"
174,Foreign Policy & Military,"As president, where do you stand? American citizens first, or all people first? ",2016-10-09 19:18:00,NC,Rachel R.,1,"as_president stand american_citizen people
"
175,Government & Elections,Can we stop talking about who has the worst character and focus on the public?,2016-10-09 19:16:00,VA,Duncan C.,1,"can_we stop talk_about bad character focus_on public
"
176,Economy & Jobs,How will lowering taxes reduce the federal debt?,2016-10-09 19:15:00,IA,Susan R.,1,"lower_tax reduce federal debt
"
177,Government & Elections,What you know of Anwar al-Awlaki? How would you reduce domestic terror?,2016-10-09 19:13:00,MA,Philip  B.,1,"know anwar al awlaki reduce domestic terror
"
178,Government & Elections,Will either candidate stop attacking the other and focus telling us ther ideas?,2016-10-09 19:11:00,WA,mark l.,1,"either_candidate stop attack focus tell_us ther idea
"
179,Society & Community,How do you relate your prolife/prochoice stance with children's rights support?,2016-10-09 19:09:00,None,Martha N.,1,"relate prolife/prochoice stance child 's right support
"
180,Health,"In talking about health care this week, Bill Clinton correctly identified that t",2016-10-09 19:09:00,PA,Cynthia S.,1,"talk_about health_care week bill_clinton correctly identify t
"
181,Economy & Jobs,"As AI and tech continue to shrink human labor, how do you see the future of jobs",2016-10-09 19:08:00,IL,Ryan H.,1,"ai tech continue shrink human labor future job
"
182,Foreign Policy & Military,What will you do in response to countries that deny the right to homeschool?,2016-10-09 19:01:00,IL,Peter R.,1,"response country deny right homeschool
"
183,Society & Community,Do you support marijuana legalization?,2016-10-09 18:59:00,OK,Norman M.,1,"support marijuana legalization
"
184,Foreign Policy & Military,How do you plan on rebuilding foreign diplomatic relations after this election?,2016-10-09 18:59:00,FL,Jeff B.,1,"plan rebuild foreign diplomatic relation this_election
"
185,Society & Community,what are you going to do to keep my children safe in school?,2016-10-09 18:51:00,WI,Michelle P.,1,"child safe school
"
186,Education,How do you think the problem of inadequate education in innercities can be ,2016-10-09 18:46:00,DC,Sarah O.,1,"think problem inadequate education innercities
"
187,Education,How will you make education more available for the financially troubled. ,2016-10-09 18:44:00,CA,Nicholas C.,1,"education available financially troubled
"
188,Government & Elections,Will you use your phone and pen,2016-10-09 18:41:00,OR,Craig A.,1,"use phone pen
"
189,Government & Elections,Both Candidates lack in Morals that's clear one is a liar the other a womanizer ,2016-10-09 18:38:00,TX,Ronda L.,1,"both_candidate lack morals ' clear liar womanizer
"
190,Infrastructure & Technology,What would you change in the DOD Cyber Strategy to strengthen our defenses?,2016-10-09 18:37:00,OH,Daniel G.,1,"change dod cyber strategy strengthen defense
"
